accuracy,loss,val_accuracy,val_loss,epoch
0.8845760822296143,0.44529232382774353,0.9924242496490479,0.03701930120587349,1
0.9989785552024841,0.024817122146487236,0.9924242496490479,0.03227375075221062,2
1.0,0.01008258294314146,0.9924242496490479,0.0386614166200161,3
1.0,0.004874840844422579,0.9848484992980957,0.04551706463098526,4
1.0,0.0029629559721797705,0.9848484992980957,0.04885818436741829,5
1.0,0.0018613013671711087,0.9848484992980957,0.05381966382265091,6
1.0,0.0018784248968586326,0.9848484992980957,0.05934012681245804,7
1.0,0.0012701537925750017,0.9848484992980957,0.06449811905622482,8
1.0,0.0011565613094717264,0.9848484992980957,0.07324491441249847,9
1.0,0.0007592662004753947,0.9848484992980957,0.07611535489559174,10
1.0,0.0008518670219928026,0.9848484992980957,0.07755155861377716,11
1.0,0.00042145411134697497,0.9848484992980957,0.08015260845422745,12
