accuracy,loss,val_accuracy,val_loss,epoch
0.9783549904823303,0.11956636607646942,0.9956709742546082,0.042081568390131,1
0.9989177584648132,0.013500820845365524,0.9956709742546082,0.03927676007151604,2
0.9945887327194214,0.021745257079601288,0.9870129823684692,0.06631691008806229,3
0.9978355169296265,0.018760181963443756,1.0,0.0002675637952052057,4
1.0,0.0011720822658389807,1.0,4.201150295557454e-05,5
1.0,0.001020269002765417,1.0,2.017809856624808e-05,6
1.0,0.0006427817279472947,1.0,1.2222732038935646e-05,7
1.0,0.0007711016805842519,1.0,8.524708391632885e-06,8
1.0,0.000180778035428375,1.0,6.224662683962379e-06,9
1.0,0.0002532940707169473,1.0,4.851441644859733e-06,10
1.0,0.0001653743238421157,1.0,3.80901087737584e-06,11
1.0,0.00036235369043424726,1.0,3.0932419576856773e-06,12
1.0,0.00016667413001414388,1.0,2.394502644165186e-06,13
1.0,7.787562208250165e-05,1.0,2.0631946426874492e-06,14
1.0,6.511319224955514e-05,1.0,1.830453697948542e-06,15
1.0,0.0001104260518332012,1.0,1.5017257055660593e-06,16
1.0,0.00012699258513748646,1.0,1.2447296739992453e-06,17
1.0,0.0001136368591687642,1.0,1.0264375305268914e-06,18
1.0,8.035222708713263e-05,1.0,8.22079130102793e-07,19
1.0,0.00020489777671173215,1.0,6.992574981268262e-07,20
1.0,6.773340282961726e-05,1.0,5.800484359497204e-07,21
1.0,8.792012522462755e-05,1.0,5.387638566389796e-07,22
1.0,6.557222513947636e-05,1.0,5.031559453527734e-07,23
1.0,7.731765072094277e-05,1.0,4.422611823429179e-07,24
1.0,0.00016578416398260742,1.0,2.99313342111418e-07,25
1.0,3.420703433221206e-05,1.0,2.74542571787606e-07,26
1.0,7.169263699324802e-05,1.0,2.1055146248727397e-07,27
1.0,3.2508742151549086e-05,1.0,1.852646391853341e-07,28
1.0,3.277305222582072e-05,1.0,1.7597560031390458e-07,29
1.0,0.0002892530173994601,1.0,1.6926685475482373e-07,30
1.0,3.009091960848309e-05,1.0,1.413997523513899e-07,31
1.0,9.319795208284631e-05,1.0,1.5430119049142377e-07,32
1.0,5.476973092299886e-05,1.0,1.4810849791047076e-07,33
1.0,3.163374640280381e-05,1.0,1.3056254033472214e-07,34
1.0,9.344590944238007e-05,1.0,6.192689738782065e-08,35
1.0,2.6117371817235835e-05,1.0,5.625026844313652e-08,36
1.0,1.70822131622117e-05,1.0,4.231671368870593e-08,37
1.0,1.7907563233166002e-05,1.0,3.818825433654638e-08,38
1.0,2.2297374016488902e-05,1.0,3.354373490083162e-08,39
1.0,1.386162421113113e-05,1.0,3.1479508777465526e-08,40
1.0,2.715432310651522e-05,1.0,2.9931335632227274e-08,41
1.0,1.9455344954621978e-05,1.0,2.9931335632227274e-08,42
1.0,2.1154370188014582e-05,1.0,2.9931335632227274e-08,43
1.0,2.2640489987679757e-05,1.0,2.9931335632227274e-08,44
1.0,7.506255769840209e-06,1.0,2.9931335632227274e-08,45
1.0,9.940773452399299e-06,1.0,2.9931335632227274e-08,46
