scenario,num_folds,mean_accuracy,std_accuracy,mean_test_loss,std_test_loss,mean_macro_precision,mean_macro_recall,mean_macro_f1,learning_rate,batch_size,best_hyperparameters
2D_Angles,8,0.9919135642109294,0.012563223510409742,0.03346258020951609,0.046113726084066504,0.9919142706397746,0.989859306125551,0.9904531560732427,0.001,32,"{'lstm_units': 128, 'dropout_lstm': 0.30000000000000004, 'dense_units': 32, 'dropout_dense': 0.2}"
3D_Angles,8,0.9734953401402101,0.04497004856492417,0.08263046403226326,0.1403030683579524,0.9797526706283332,0.9694830875680109,0.9664429912254975,0.001,32,"{'lstm_units': 32, 'dropout_lstm': 0.5, 'dense_units': 32, 'dropout_dense': 0.30000000000000004}"
Torso_Angles,8,0.9947333646482709,0.00933420735533172,0.014616341113310227,0.0204620065688317,0.9958179789791326,0.9929734169653525,0.9942127472284021,0.001,32,"{'lstm_units': 32, 'dropout_lstm': 0.1, 'dense_units': 64, 'dropout_dense': 0.4}"
Batch_Size_8,8,0.9972544691519512,0.005051202919267075,0.011235532785451197,0.018355111926319344,0.9977302631578947,0.9960648148148148,0.9968276080384331,0.001,8,"{'lstm_units': 32, 'dropout_lstm': 0.5, 'dense_units': 32, 'dropout_dense': 0.1}"
Batch_Size_16,8,0.994998127457313,0.006912274395359097,0.020304548526193678,0.035740873233940325,0.9955900154532967,0.9932883394459726,0.994295373759439,0.001,16,"{'lstm_units': 128, 'dropout_lstm': 0.30000000000000004, 'dense_units': 128, 'dropout_dense': 0.30000000000000004}"
Learning_Rate_1e4,8,0.9981537497274907,0.003199221345176456,0.011711322090832255,0.01768994411305497,0.9985304054054054,0.9971064814814815,0.9977737814581961,0.0001,8,"{'lstm_units': 32, 'dropout_lstm': 0.30000000000000004, 'dense_units': 128, 'dropout_dense': 0.4}"
Learning_Rate_1e5,8,0.9972544691519512,0.005051202919267075,0.033556919544935226,0.016932853713156656,0.9977302631578947,0.9960648148148148,0.9968276080384331,1e-05,8,"{'lstm_units': 32, 'dropout_lstm': 0.1, 'dense_units': 128, 'dropout_dense': 0.2}"
BiLSTM_Layer_2,8,0.9956326452238105,0.0071065868137179695,0.010189831737676514,0.014654925780100664,0.9964828725961539,0.9940150836320192,0.9951159193689871,0.0001,8,"{'lstm_units_l1': 64, 'dropout_lstm_l1': 0.5, 'lstm_units_l2': 64, 'dropout_lstm_l2': 0.4, 'dense_units': 32, 'dropout_dense': 0.30000000000000004}"
BiLSTM_Layer_3,8,0.9963551885764116,0.0072191524708507425,0.017089361043872486,0.02915561738750316,0.9969711538461539,0.9950231481481482,0.9958742774430803,0.0001,8,"{'lstm_units_1': 32, 'lstm_units_2': 64, 'lstm_units_3': 64, 'dropout_lstm_1': 0.30000000000000004, 'dropout_lstm_2': 0.2, 'dropout_lstm_3': 0.5, 'dense_units': 64, 'dropout_dense': 0.1}"
