left_shoulder,left_elbow,left_wrist,left_hip,left_knee,left_ankle,right_shoulder,right_elbow,right_wrist,right_hip,right_knee,right_ankle
123.85872505745802,110.51004674093596,153.78947477162203,124.44513115931277,163.5763811107664,151.13454286761257,28.736247801295075,129.880674329546,114.2302226129988,65.80922371470324,79.55219453068382,151.94979696408018
134.50590913966602,146.51171457427222,135.5571615011757,170.60017262561837,30.601025826941882,134.11172424289433,40.1680913064282,131.37642118662347,174.505290858013,99.1420067121432,108.15915672829144,104.64825858881709
111.70749656910479,126.00640904190207,115.52822406286296,161.65781214972654,169.40448043531077,147.5854891472465,56.28815806068901,129.1930886278935,176.6078266321887,115.09959781373382,126.9328395055097,112.62535404507604
129.73110751751423,173.12626896480234,164.40952910603986,173.39530373094746,178.20046198100403,129.1987934315095,112.60306757117358,170.10082506933438,91.19945725138943,141.03744949968996,144.2023600402993,139.3047592614816
111.88919730355167,179.24822794168279,72.30828465034968,150.4458351610397,174.00006455887046,124.84741827063225,121.40155401092284,159.80328072691896,139.49797028720388,143.46149193834694,144.6086127626461,140.5965400113209
112.353093338718,144.99382593280305,140.04770849206903,147.48704437423922,151.5602125691977,171.58613349226223,123.0475766249779,173.27610858755895,139.22451139500575,171.69206408573822,178.78297818052178,155.32813114024583
167.51460963278922,150.8413884299119,152.23281744803725,110.53112172918281,178.73361568650796,167.46892433499565,119.57499714768136,166.77782299225217,154.333013788691,152.06655651087183,159.84876702393322,167.784787656098
174.3928739374801,151.68285028295077,167.8296176524264,104.96172048449262,164.2320357781623,158.80823623703876,121.9184967308761,157.5343444906229,161.18207046987493,173.11288947489192,178.36175161848175,168.97961174969217
169.75550674643975,150.6061636638714,178.82862235851434,119.59766380134842,173.93926245368706,172.44046631350517,126.42199862385566,150.5176466627015,165.52536200107193,159.73355097628547,168.82975539416486,166.1283754994459
164.31926095017243,151.3065625022513,175.99105865688853,127.70358930802172,179.44361277859807,163.91255040921013,138.67556394783762,154.5012355234027,159.34360487450712,147.2531417151956,167.46487122563525,171.12507417754756
164.63484178150551,156.9458847476895,169.54064206680206,128.78962086267026,176.25796752951896,160.0424430626212,149.7979007178295,160.81848004997198,160.44853426833865,138.98324671597484,164.0927195337085,162.0908974436638
160.41878854020254,153.62941473663668,164.5155624173135,130.77380047698387,173.61557831924983,174.21438751045082,148.38121936986965,156.4062875057948,155.87431233392306,137.67092076998892,166.8313132274699,173.50924238061066
159.91415017741662,156.5939986782405,163.89486824082172,132.5883051175992,175.26003708477757,171.20399998117333,149.04194857135028,155.7049958091276,157.0955549087366,137.17614215406797,169.04125082701842,177.1583207839593
156.84779680893996,153.28084482059884,155.58312056715226,131.61483060394931,172.47374034354542,167.40313592585306,150.6468181037056,154.5793375760794,152.2876012617394,135.67135386221744,168.38760992114132,177.99743349890446
154.0367277071352,150.0036101798159,160.20101409585666,130.03931137249165,169.19798982271175,172.9930023357534,151.27671095602605,155.93362487402703,146.87107184796946,135.0726488067559,167.6650327716592,179.67184009918046
153.17547126768966,149.78978481446072,160.6469921488773,130.83948336550947,171.01105343128606,164.85821601426608,149.91695156342328,157.17194425701328,136.79861407616113,135.20217319667898,167.1577378736871,178.0824682050482
151.97755717863734,147.0955775353712,163.37729630652802,131.19892777445787,171.73920187816597,168.26513547010546,150.89463644892285,156.79571507193927,135.5110070298429,134.34362614872006,166.66953308806794,177.11643661012863
151.77169445061935,146.3541576755097,167.05245650398078,130.06531006300477,171.68645013359924,161.28817011877686,152.13269784008938,157.40806952852944,137.63093564056518,134.57400188245524,167.91873176397576,176.34400313911954
152.7308905126787,146.89611826852712,168.60377594812056,129.6477902523401,171.16883612517552,158.71749869308647,151.77116405193703,156.94031372528602,138.6651933345104,135.1418314341774,169.471863993457,173.47469258989534
153.5100470241685,148.12407494905656,166.28819996916133,129.9159800860117,171.26684109816568,166.50047832827048,152.27901183545902,156.15649693781558,140.70300217056572,134.43013200830515,168.50856478539723,170.5626232842887
153.58440690581358,148.72465137033066,166.49186246600755,130.23423034529648,171.29273500194853,162.61650023504683,154.363647933744,156.19599747026643,143.03759777301752,133.23282881828735,168.4588325546845,168.23117611218035
153.5065138477148,149.76611834777836,164.8121055829577,130.61390297378358,171.3312732262426,161.46505680779967,156.16254396128974,158.01167996642457,142.0834866225636,132.5259913931839,167.7592650745492,167.8329629843759
153.72683069458955,150.06203665447077,164.69461851662948,130.56009722749047,172.13889427913304,157.7738861311203,156.10183438819354,156.02497595745078,147.50753753731098,133.1648802782395,168.69814070353476,166.6566182097041
153.79271952471285,150.0878278973365,165.4189634845284,130.78607103356597,172.81998880588776,155.53184819371472,156.67287609904426,156.05001701354706,149.01507725868208,133.3713140913323,169.12532478691588,166.4586186248235
154.01779338870986,150.8527438773383,163.97018756104714,130.7798648112727,172.79949864449642,154.9682294050985,157.28891546484408,156.05461388797684,150.2241223441383,133.6555143705192,169.73620425922294,166.2054932001303
153.71081195117134,150.25539021943018,163.1156275186746,130.76192060711227,172.6372867437468,155.36803106641736,157.5525352622604,156.22551165292126,151.63699232381776,134.0549179287534,169.77946048162,170.12362001095929
151.2283896649498,144.82525277895294,166.44362691286918,131.57773038605987,174.12413368847956,156.51826752642492,156.61912433372888,154.2395541682914,153.21682457538878,134.67372990415657,168.48453193889637,179.59832672211314
149.56835616343488,141.13087533113077,168.59517947334422,132.67167393061692,173.00652001891086,169.21555168154947,155.63971437843162,150.8833003202349,154.48598038974635,134.82992219825647,163.1768395045428,148.52800852561364
148.04137557420773,137.98546651843733,170.57925357599106,133.76969260896703,169.81060789623663,174.34203014702646,155.2359862029727,148.4774386908433,153.68783601264056,135.18039952735867,156.06946664167526,124.62752451769894
147.15308056676022,136.21927662392926,170.43557009971656,134.07161837030182,159.55858466816852,153.720770619129,155.75963892376868,148.68905980862584,148.43790231157286,136.6281069138125,151.771697521738,115.03916255297352
146.7208560608327,134.90689371007963,172.32348080985398,135.55958311758923,144.8981290777007,118.89029009277687,156.29472965796037,148.26742939437813,148.09815854073196,138.89325519200128,149.92440661802385,119.56092737273329
146.2033379430204,134.4879818050099,173.3140927391492,138.37827134087843,138.14612100609898,109.23941166828517,157.4149191522845,149.12121163385086,148.22122567603807,141.11240981610234,148.39443644815196,125.51128103301704
144.92260305084247,133.2113444767012,174.8982976366814,143.00809208915385,142.4855580417189,118.18216421564925,159.15995908176276,150.08093260929772,147.45079196326347,145.1796916003521,153.0309237219951,128.51022270670842
144.8446529709993,133.42890796140463,175.11164769174803,148.76904982813136,150.50621073348154,132.23012508992826,160.2225417155845,150.7264503632179,147.56258515816364,150.7792634080136,162.8216063923385,138.00255359596676
145.24356757007837,134.75940270369503,174.62962512360772,154.17490313081245,163.63030887940087,147.73143415633788,161.4169309148997,151.7802166500245,148.40276172102355,155.10790101144252,168.88511309240587,146.62203074012675
145.86801563853004,135.6991497118146,174.5567796512374,158.41862891830414,170.003479093217,154.558783418047,163.3618369802942,151.73235601151936,152.1538823232979,157.44261275196166,171.87170661096474,157.7195047867338
146.88199939358242,137.65258285691152,175.04138749817517,161.32583295075796,174.37936185064675,161.82590441191746,164.5350642996376,153.83543949432462,152.36827175847384,160.6154383044783,175.58261746594758,163.26764810387783
149.2205828395724,142.0616236482127,173.0045647125203,162.77884777248073,175.34215203658167,169.05153038055053,166.37363253160498,156.88691405941182,150.5731494260466,163.29433804661244,178.56368836257812,166.8040635917231
151.0920360619695,145.31076657611402,171.82962180412085,165.21934097550033,178.44413189512522,172.02571525250815,170.53545696252942,164.55653696982176,151.4518745488141,165.30195298251147,177.7079423250779,164.93629906211768
