left_shoulder,left_elbow,left_wrist,left_hip,left_knee,left_ankle,right_shoulder,right_elbow,right_wrist,right_hip,right_knee,right_ankle,torso_angle
156.3374712752253,155.52590831478577,173.8894350234915,141.74236976692427,174.6606300519023,149.74805408250515,153.4643485479,157.99302835175746,149.09001260310635,138.64337452875105,176.07773385539906,172.92102842539182,2.5069887227692043
150.53995932871018,150.47327519837287,161.72816951250107,137.78408017917866,178.61867051999607,143.168780147731,151.13402197962787,155.56257491231514,148.87262573457673,137.4681306219314,173.24214783290077,175.30391671730047,1.8545724609584253
149.08302165593102,145.9712500808067,161.62407181511585,135.89464057282467,179.70246467977913,146.00108131471947,150.66726366721429,156.2234000808185,144.186613412831,138.26222317723352,171.18068356224967,172.73205211103388,0.8466158046237016
148.8672503478083,147.21639400636172,155.26274322074073,135.79074827547407,179.21857434221732,160.8993117208549,147.74413303365054,154.28500120319285,143.52641375861467,138.42784921975786,169.9865586620452,172.19254338198493,0.4590751151106525
150.08882148889106,149.68437805055567,153.34401082756295,136.50078807989013,179.50265577036356,163.7402159853374,147.35549841117424,153.50610042652684,138.77431323537877,138.0749644859188,170.30852126913186,165.176397900416,0.41788793793914764
151.701932111664,151.50768565104892,153.79112419467842,135.5318850143571,179.35604767674397,168.09351778336506,146.84487322261273,152.4851010046989,139.73220981729503,138.48521595486812,170.44679974264255,167.23345490754966,0.18232972167292416
152.30096459197557,152.32027575739798,153.51245320626512,135.01503571099514,178.34527360729422,167.6938579608666,145.32716560318983,150.63412215702735,143.31629669328157,138.62400513480242,169.53994490230772,166.32792853551385,0.0013084275420345067
152.86826196972666,152.84623130164914,153.8263286115178,134.18150480785212,177.5305159276723,164.29997196152837,145.1693949793837,150.2422371640759,141.86520135263066,138.66455061430648,170.117537239493,168.827334390459,0.1587556311515436
154.32518151492303,153.5551272618559,156.2178074703201,133.27141483443157,176.1776418187078,168.02711388220294,144.7348240871807,150.85353965432066,137.1706181675238,138.89255765263067,169.93330031237792,169.31373087002237,0.4269892756157682
154.98082444321452,153.0152596862108,159.99445735333236,132.68712685766948,175.6996232492119,164.45794142075704,144.9957038602908,152.1284503707766,136.54140458056233,138.86839211369985,169.36169124552495,168.10534718258873,0.5494314729843753
155.18655606520102,152.56700582492243,160.6136745090632,132.31623059056145,175.54875709832893,160.63551070737623,146.01289320905514,152.64507916867794,137.04797869423945,138.85835488408364,169.51731140810563,167.7945472477469,0.5450728176468118
155.23509284143938,152.55672391426208,158.72980776135012,132.04708249379206,175.55237683593396,158.389562082814,147.65424085835235,153.71528028339384,137.79293260441665,138.82747128972534,170.04764551719634,168.74546633646366,0.4299241829881949
154.27251069219065,152.00552875255357,156.70123992803056,132.24090378905458,175.5142075553203,157.90249564725931,149.38960461209066,154.79500534534307,138.2927510161458,138.23544014185146,170.39713462353765,166.9861024800439,0.019154561989977177
153.79761311930392,151.58580624887307,156.70292734552612,131.79498952351358,175.25121366872457,157.52803961423237,150.91421037035946,154.70783398192617,139.57540396058985,137.39972936112423,170.4396169375873,164.2839780141502,0.34615555166815326
153.64379341395772,151.61778348976642,156.47906733496154,131.21257824497016,174.22958579665737,158.04593375263556,150.76456235915447,153.83666563996218,140.9528885934965,136.98607988267813,169.85479849938733,162.7694530113053,0.4145211044754214
153.81358365360043,151.47104329793132,155.6099968967457,130.63965061573708,174.1649994289208,159.56664077452703,150.3883070821891,153.42008563832243,144.4139217627961,137.37170260041023,170.26218651336995,161.46933250436823,0.22141342665546804
153.76175704546043,150.8620300884664,155.41676823739775,130.39852003777384,174.2050789766482,158.57832757708877,149.88973654862068,153.24020483530546,151.1159542278513,137.71131245373897,170.86454471118475,159.68995373584474,0.2069107641133984
153.57572139419764,150.1460662644875,157.07539390163066,130.34064721297864,174.04576783329273,158.1487932179727,149.41794216517565,153.57348473856212,148.96232975679257,137.5793598187248,171.05626431188733,157.90021276270298,0.44571355293739245
152.61876270930998,149.31168170395867,157.8556944574835,129.70190444159894,172.36553544023664,159.52155036399412,149.89555463086512,155.09765734981852,148.06225789460305,136.92188832283392,170.1358786739847,155.99663376521175,0.7246568149028354
152.10960582888444,148.38040472741443,159.18272798397322,129.62580585011352,171.91889675847827,160.47276885772152,150.28222921247328,155.3654147278059,146.9288717952216,136.3951201160662,169.41759382027848,156.73647383399452,0.973130544260083
151.7613206255258,147.0167444183014,161.69050727063288,130.00632020441054,171.88555729597962,159.39827222035655,150.66391213463666,156.44022266126223,141.18530616808962,135.93378139997415,168.95487386347608,156.43368219061588,1.35000306412866
150.83743743714567,146.3076099983199,164.02672197198504,130.3782407027143,171.52134394931008,159.54460488530722,151.90799228491588,157.85312162420624,138.36875535122752,135.24891148110189,168.1526074694846,157.3533360203744,1.7971215472285087
152.0168641793728,147.0053717101611,166.58195855163873,130.26434767378842,171.13538913940093,161.23503548018897,152.8444857534835,160.15034741023288,132.14781170481265,134.88353639911824,167.9711914536698,153.13101080583232,1.95559353501927
153.19690903224455,148.51954308498702,167.7762524687749,130.2018935925081,171.36070516482152,160.30617053912673,154.16059734322545,160.60476503460353,133.41652392181007,134.48935491072996,167.96090400093408,153.3604386943358,2.166758060963992
153.25651482476883,147.65414842462494,169.02155483905588,129.70202649145645,170.90872284908875,160.33689754092768,155.08044019140712,158.85538829951096,144.38989124684707,134.7825203165545,168.40597851039715,155.61962139950245,2.119522632566799
152.6260868609136,146.44656999600824,168.81950876873913,130.04948688446527,171.74544621509872,155.796533914708,155.56765305058224,158.87204076609095,145.84645622804683,135.2701514925491,170.0861242550508,161.008027391051,2.148149312241389
150.51066840885298,141.94330541888735,170.42120130255486,131.15270155327016,172.7432005867021,156.78253484174985,155.05364651795082,157.84938301600837,146.38371167808936,136.35161572790352,170.21284263930335,173.85335211602123,2.156879990730766
147.91543018574723,136.7250420211065,172.6084360815966,132.60568281021122,172.18600490683056,168.48229279481913,153.2292194762794,154.69449887190663,145.24203733020667,137.10009479821932,166.8347021924819,154.95010583715967,2.416181606119596
146.13904085106307,132.80366691719806,174.13628276922387,134.3015982821289,169.91253019744588,165.71442984895495,152.5911266842113,153.49855695050297,143.35632794352406,137.80752189508638,158.89343182174173,125.95712739574208,2.690335045606883
145.3333423511987,130.7832299318702,174.7322763317813,134.787493083546,157.987219738268,151.71756047979554,152.83863186123918,152.93713008746397,144.00638459984242,138.70868192841093,154.1877507597865,115.92481090062927,2.8970029203273873
144.55747761467208,129.43097534243552,175.3045349290051,136.21277125337537,144.74931276936925,120.7023953266589,154.77098623138852,152.5746123938669,144.92016545860764,138.73112390912178,149.0490203122386,118.69818946069681,3.4129402874075914
143.58889888717925,128.1493067132064,176.2259503710137,139.82853978170084,138.66926697908863,107.01222950708907,155.95611736963914,152.49686298390114,143.91490945629138,141.03643637413833,148.434082519347,124.40688650622586,3.9688384187971693
142.69513876973707,127.17268932139635,176.18986384780612,144.52640474149518,143.12997832865736,118.2081821565565,157.6630425019531,152.76160151097488,142.7510366409102,145.98247424023452,157.13004750603446,138.72898671851715,4.334322675910779
142.3433155500362,127.38059213367723,176.03211359555812,151.33724213654637,155.69720802995977,134.5088148815682,159.29422143411026,153.63565523877506,141.96488327049477,150.7748623008014,164.89285542883343,148.70019750543065,4.611836688886166
143.35383175126367,128.5085711577401,175.78387115983563,155.57758736359926,164.60182413622633,145.0655544496218,160.44781467784335,153.9622060856076,143.74739308064622,155.24145580043893,169.1752428474114,150.77522709224044,4.529041419367056
143.85995086837391,129.8202550912295,175.56928244759337,159.83626570513587,171.10719969132967,149.0580649324664,164.6222217167875,154.22709664768092,153.09809844322746,157.37597964697937,171.78846763458068,152.21692169326468,5.004616987161593
146.05504684313667,134.44913545534556,173.6450455868681,162.58892503085153,175.77027598431238,160.72324817087724,167.0255218480111,155.65680440205833,154.97312538056335,159.5335359208571,173.88916864110587,157.6457712066696,5.157115948909092
148.8912049076285,140.81522185518998,172.96689199271265,164.16134571665665,178.53950487499344,167.82983180713254,167.9553435439122,156.7431020188878,153.21694550696208,163.18033970139862,179.32602630034006,169.75012202755718,5.015216544744639
150.39893449376066,143.37121386510728,173.0368635344815,165.61105900857865,179.13214098166614,168.4071523044887,170.3465966966136,162.4443119753589,152.30515112451175,165.85839375775953,179.18204826882274,165.41651296431797,4.826787855933762
151.64760847343058,145.4858025817909,172.98875050967112,167.67477612497834,179.44163915261137,164.9865848147046,171.5128137002503,165.57778888382217,150.17729520253124,166.55383852864037,176.45327217892725,165.24693343021193,4.710902005435992
152.42624026018674,147.0171332099134,172.7906859340468,169.35736856783774,178.44283721805868,167.75529016938023,171.22473173889898,166.10473465192055,150.42130432939624,167.58225657117055,176.9093102860395,164.68825919920184,4.612209517212577
152.6783338730408,147.14066321231945,174.24874908201832,169.45186755694039,178.01490538190552,164.4918813192251,171.37194074792157,165.97730138195777,153.85780547944702,167.7720860896997,174.2666354076925,160.98952429306436,4.329852479636101
151.9030393165107,147.48131285951905,178.9982404516166,170.91971148578577,178.47369810860943,158.61252957525775,169.43016855623108,164.67633899374596,153.67897407059883,167.9187570920339,171.81695226643157,158.51704810164657,4.133691045801178
151.59446227273818,147.57404696069204,179.6190638154028,171.14262124457525,179.61097860159435,152.90961635642267,168.20579508213666,164.72433100919412,150.4107811754488,168.1727411846177,171.39848306371965,159.2883163139278,3.8472752801083603
151.69794855918175,148.21195360074634,179.8042174710544,172.41920539754264,179.59767608432156,152.746399802627,165.08583682713527,161.26690219139405,149.9684293873847,168.446465346137,171.2724428697147,161.6273004711909,3.511908052299849
152.4590512756008,149.94194089491808,177.45715084326864,173.700134176887,179.17633591391086,152.720137058987,159.7671178642297,154.94656548426474,150.0071729741624,170.56533017292338,171.40260860563063,167.7003825064349,2.8311033470540017
151.90041673073645,150.74494726513316,171.75904841340883,173.78208903005037,178.77416454271236,153.60242221108527,155.02065827041926,146.8966447899403,152.45382065561648,171.76431716639667,171.76475791046786,167.59715375277304,2.3896715660135177
151.4341249317261,149.76715488418526,168.37317601654755,171.71500535651182,179.52198887929063,155.8006710469236,150.42217053455425,140.19439624116262,155.49783067420765,174.09359868244024,171.92144092603718,163.9036661815229,1.2605691381754331
151.54054575691055,149.31376788806512,166.8346094457473,170.4765170991691,179.88448939419285,156.33564099727982,147.68335043023427,135.09118308892818,157.93087959116676,175.75787692887738,172.92665448285726,162.8528575436571,0.5132843729470142
