accuracy,loss,val_accuracy,val_loss,epoch
0.8153005242347717,0.741942286491394,0.9924242496490479,0.22482003271579742,1
0.9967213273048401,0.11255230009555817,0.9924242496490479,0.048597484827041626,2
1.0,0.03298787772655487,0.9924242496490479,0.0348244272172451,3
0.9989070892333984,0.018193216994404793,0.9924242496490479,0.03237568214535713,4
0.9989070892333984,0.013437737710773945,0.9924242496490479,0.03253386169672012,5
1.0,0.007668711245059967,0.9924242496490479,0.03424448519945145,6
1.0,0.004808453842997551,0.9924242496490479,0.03498884290456772,7
1.0,0.0038348359521478415,0.9924242496490479,0.035693179816007614,8
1.0,0.003861368168145418,0.9924242496490479,0.03569236025214195,9
1.0,0.003924825694411993,0.9924242496490479,0.036124277859926224,10
1.0,0.0026504232082515955,0.9924242496490479,0.03689108043909073,11
1.0,0.002010075142607093,0.9924242496490479,0.037582624703645706,12
1.0,0.0022479784674942493,0.9924242496490479,0.038796838372945786,13
1.0,0.0013557467609643936,0.9924242496490479,0.039621736854314804,14
