accuracy,loss,val_accuracy,val_loss,epoch
0.9497907757759094,0.2753134071826935,1.0,0.0058521851897239685,1
0.9979079365730286,0.014337492175400257,1.0,0.0025246157310903072,2
0.9979079365730286,0.011769354343414307,1.0,0.0006261573871597648,3
1.0,0.0024464535526931286,1.0,0.0002649470989126712,4
1.0,0.0014907552395015955,1.0,0.00012585091462824494,5
1.0,0.0006870924844406545,1.0,8.06564639788121e-05,6
1.0,0.0008854569750837982,1.0,4.960939986631274e-05,7
1.0,0.00042058739927597344,1.0,3.409314376767725e-05,8
1.0,0.0006033206009306014,1.0,2.334589407837484e-05,9
1.0,0.0003816139360424131,1.0,1.685245479166042e-05,10
1.0,0.00026790978154167533,1.0,1.2950835298397578e-05,11
1.0,0.00018724167603068054,1.0,9.86567738436861e-06,12
1.0,0.0001908136036945507,1.0,7.399325568258064e-06,13
1.0,0.00012041869922541082,1.0,6.1638788793061394e-06,14
1.0,9.997460438171402e-05,1.0,5.11496318722493e-06,15
1.0,0.00016348382632713765,1.0,4.033624463772867e-06,16
1.0,0.00010202412522630766,1.0,3.338829174026614e-06,17
1.0,6.96951465215534e-05,1.0,2.8470381039369386e-06,18
1.0,0.00012680748477578163,1.0,2.0729355583171127e-06,19
1.0,6.957009463803843e-05,1.0,1.7462349433117197e-06,20
1.0,3.209459828212857e-05,1.0,1.5741560446258518e-06,21
1.0,8.239020098699257e-05,1.0,1.2619196922969422e-06,22
1.0,4.4153617636766285e-05,1.0,1.0703876114348532e-06,23
1.0,0.0001055782413459383,1.0,8.67383334934857e-07,24
1.0,0.00015740156231913716,1.0,7.287217158591375e-07,25
1.0,4.94061823701486e-05,1.0,6.090139095249469e-07,26
1.0,3.185851528542116e-05,1.0,5.471648591992562e-07,27
1.0,4.66284946014639e-05,1.0,4.6037666834308766e-07,28
1.0,0.00015087221981957555,1.0,4.194763221221365e-07,29
1.0,3.885971455019899e-05,1.0,3.7159324506319535e-07,30
1.0,3.914897024515085e-05,1.0,3.04756468949563e-07,31
1.0,1.5468462152057327e-05,1.0,2.548781878886075e-07,32
1.0,1.2121873623982538e-05,1.0,2.12980395986051e-07,33
1.0,1.8700304281082936e-05,1.0,1.6360088750388968e-07,34
1.0,2.559952554292977e-05,1.0,1.3217757555139542e-07,35
1.0,1.1350147360644769e-05,1.0,1.1072991412675037e-07,36
1.0,6.932400719961151e-05,1.0,5.835767069584108e-08,37
1.0,1.1560479833860882e-05,1.0,4.6885649140904206e-08,38
1.0,3.1049730750964954e-05,1.0,2.0450123372484086e-08,39
1.0,2.503768337192014e-05,1.0,1.596107068735364e-08,40
1.0,1.443486053176457e-05,1.0,1.2469586252450426e-08,41
1.0,1.5187907592917327e-05,1.0,1.1472018890401614e-08,42
1.0,0.0002950139169115573,1.0,2.244525632022487e-08,43
1.0,6.787456641177414e-06,1.0,1.7956203635094425e-08,44
1.0,8.066082955338061e-06,1.0,8.479318580612016e-09,45
1.0,7.931852451292798e-06,1.0,7.98053534367682e-09,46
1.0,7.668839316465892e-06,1.0,6.982968869806427e-09,47
1.0,0.00018361498950980604,1.0,9.476885054482409e-09,48
1.0,1.0989297152264044e-05,1.0,9.476885054482409e-09,49
1.0,3.836192263406701e-06,1.0,8.479318580612016e-09,50
