accuracy,loss,val_accuracy,val_loss,epoch
0.9488017559051514,0.28023824095726013,1.0,0.007454756181687117,1
0.998910665512085,0.010876771993935108,1.0,0.00129089062102139,2
1.0,0.0032240429427474737,1.0,0.0004953664029017091,3
1.0,0.001956335501745343,1.0,0.0002557284024078399,4
1.0,0.0010784422047436237,1.0,0.00014049583114683628,5
1.0,0.0007857588352635503,1.0,8.607682684669271e-05,6
1.0,0.0005706268129870296,1.0,5.747629620600492e-05,7
1.0,0.0006074539851397276,1.0,3.860386641463265e-05,8
1.0,0.000600312661845237,1.0,2.3311173208639957e-05,9
1.0,0.0002635526470839977,1.0,1.7556680177222006e-05,10
1.0,0.0004042252548970282,1.0,1.286766473640455e-05,11
1.0,0.00017448843573220074,1.0,9.77607396634994e-06,12
1.0,0.000453837652457878,1.0,7.287739663297543e-06,13
1.0,0.00020041259995196015,1.0,5.8639925555326045e-06,14
1.0,0.0001348250370938331,1.0,4.833634648093721e-06,15
1.0,0.00013585806300397962,1.0,3.922467385564232e-06,16
1.0,6.866904732305557e-05,1.0,3.3367959986208007e-06,17
1.0,8.758169133216143e-05,1.0,2.8174652015877655e-06,18
1.0,5.773958037025295e-05,1.0,2.401274969088263e-06,19
1.0,7.24782730685547e-05,1.0,1.9648709894681815e-06,20
1.0,5.894822606933303e-05,1.0,1.6513013179064728e-06,21
1.0,3.389321864233352e-05,1.0,1.473006818741851e-06,22
1.0,4.4881780922878534e-05,1.0,1.2667242117458954e-06,23
1.0,3.895051122526638e-05,1.0,1.1050153716496425e-06,24
1.0,3.560398181434721e-05,1.0,9.935812386174803e-07,25
1.0,2.598024184408132e-05,1.0,8.811102816252969e-07,26
1.0,2.6980140319210477e-05,1.0,7.779687507536437e-07,27
1.0,3.076657230849378e-05,1.0,6.701623078697594e-07,28
1.0,3.854963506455533e-05,1.0,5.613196094600426e-07,29
1.0,2.562686859164387e-05,1.0,4.877210812992416e-07,30
1.0,2.7724534447770566e-05,1.0,4.3692764961633657e-07,31
1.0,3.8197638787096366e-05,1.0,3.2808443961585e-07,32
1.0,4.8657737352186814e-05,1.0,2.5396747105332906e-07,33
1.0,1.7248074072995223e-05,1.0,2.2494262452710245e-07,34
1.0,2.5054472644114867e-05,1.0,1.8399683199277206e-07,35
1.0,1.2474751201807521e-05,1.0,1.4771576672956144e-07,36
1.0,3.4127257094951347e-05,1.0,2.368612825875971e-07,37
1.0,1.471909763495205e-05,1.0,2.182027571961953e-07,38
1.0,8.015218554646708e-06,1.0,2.0109919773858564e-07,39
1.0,1.806906766432803e-05,1.0,1.8347728314438427e-07,40
1.0,1.4436996934819035e-05,1.0,1.1920902664996902e-07,41
1.0,8.38942560221767e-06,1.0,1.0936135907968492e-07,42
1.0,7.041444405331276e-06,1.0,1.0262346705758318e-07,43
1.0,0.0002043415734078735,1.0,1.062512566818441e-07,44
1.0,7.505465418944368e-06,1.0,1.0469638311860763e-07,45
1.0,9.429986675968394e-06,1.0,9.536707779034259e-08,46
1.0,1.5866211469983682e-05,1.0,9.018410906946883e-08,47
1.0,9.10120979824569e-06,1.0,7.567166449007345e-08,48
1.0,2.7856345695909113e-05,1.0,6.478740743887101e-08,49
1.0,2.520251200621715e-06,1.0,5.4421438022700386e-08,50
