accuracy,loss,val_accuracy,val_loss,epoch
0.9596949815750122,0.2274949550628662,1.0,0.0014201253652572632,1
0.9956427216529846,0.013767500407993793,0.9956521987915039,0.02636108174920082,2
0.9956427216529846,0.020118044689297676,1.0,0.0006928088259883225,3
0.998910665512085,0.008036278188228607,1.0,0.00023725030769128352,4
1.0,0.0008884308626875281,1.0,0.00010139241203432903,5
1.0,0.0006433455273509026,1.0,6.165944068925455e-05,6
1.0,0.0005255671567283571,1.0,3.969765020883642e-05,7
1.0,0.0005113372462801635,1.0,2.739250885497313e-05,8
1.0,0.00029227047343738377,1.0,1.9876481019309722e-05,9
1.0,0.0003886294725816697,1.0,1.4714356439071707e-05,10
1.0,0.00022778150741942227,1.0,1.1648681720544118e-05,11
1.0,0.00022129222634248435,1.0,8.820894436212257e-06,12
1.0,0.00013438452151603997,1.0,7.136961357900873e-06,13
1.0,0.00011898097000084817,1.0,5.695066192856757e-06,14
1.0,0.00010519407078390941,1.0,4.889634055871284e-06,15
1.0,9.643910016166046e-05,1.0,4.194078428554349e-06,16
1.0,9.173791477223858e-05,1.0,3.655049113149289e-06,17
1.0,8.19876222521998e-05,1.0,3.178214910803945e-06,18
1.0,8.246302604675293e-05,1.0,2.715374193940079e-06,19
1.0,8.037494990276173e-05,1.0,2.2867409370519454e-06,20
1.0,6.55150506645441e-05,1.0,2.010487378356629e-06,21
1.0,9.425912139704451e-05,1.0,1.6839584304761956e-06,22
1.0,4.51426712970715e-05,1.0,1.4704187378811184e-06,23
1.0,4.4472471927292645e-05,1.0,1.328922962784418e-06,24
1.0,3.4894510463345796e-05,1.0,1.2091956023141393e-06,25
1.0,2.7083890017820522e-05,1.0,1.111236883843958e-06,26
1.0,3.578023097361438e-05,1.0,1.0184610346186673e-06,27
1.0,4.309985524741933e-05,1.0,9.225756230080151e-07,28
1.0,2.524851333873812e-05,1.0,8.489769811603765e-07,29
1.0,2.327086440345738e-05,1.0,7.800430807947123e-07,30
1.0,4.557545980787836e-05,1.0,6.836389729869552e-07,31
1.0,2.2976362743065692e-05,1.0,6.34918762898451e-07,32
1.0,5.2457333367783576e-05,1.0,6.162598538139719e-07,33
1.0,3.7996345781721175e-05,1.0,5.493991466209991e-07,34
1.0,2.5915618607541546e-05,1.0,5.100083058096061e-07,35
1.0,2.481817500665784e-05,1.0,4.5869646214669046e-07,36
1.0,2.3930848328745924e-05,1.0,4.104944650862308e-07,37
1.0,2.2353306121658534e-05,1.0,3.73695115740702e-07,38
1.0,6.252241291804239e-05,1.0,3.4518856750764826e-07,39
1.0,1.66684349096613e-05,1.0,3.249748203870695e-07,40
1.0,1.5083648577274289e-05,1.0,3.047610732664907e-07,41
1.0,1.890187013486866e-05,1.0,2.7314473527439986e-07,42
1.0,2.6418523702886887e-05,1.0,2.410100421457173e-07,43
1.0,1.7504036804893985e-05,1.0,2.1198518140863598e-07,44
1.0,1.3356479939830024e-05,1.0,1.9073485191256623e-07,45
1.0,2.5130697395070456e-05,1.0,1.7674071273177105e-07,46
1.0,1.2102178516215645e-05,1.0,1.5289884913727292e-07,47
1.0,1.3894361472921446e-05,1.0,1.2750210487411096e-07,48
1.0,8.521550626028329e-06,1.0,1.2231909352067305e-07,49
1.0,6.80620951243327e-06,1.0,1.1402626398648863e-07,50
