left_shoulder,left_elbow,left_wrist,left_hip,left_knee,left_ankle,right_shoulder,right_elbow,right_wrist,right_hip,right_knee,right_ankle
72.16457832169831,126.02744650780821,156.4020178821466,152.4245716216761,153.63443170477893,123.53741436296892,56.96040337794409,120.47634114481856,140.83858310215916,168.3003380720729,157.51044227187984,96.61072895880196
85.75995551353623,134.82360619671073,159.3405923560677,149.62603304527445,146.73211509812256,100.75401910343207,62.41172478363078,145.19573096518914,114.60449453743858,159.0929359497999,161.62554394216266,74.94657985116329
79.80709691556748,136.9734374827576,158.7149673736315,145.80690579754227,145.46850035762924,115.5480656706572,77.2129488240708,159.10162237925522,125.90000418888286,157.13274765928534,146.90362723415814,88.67417142117691
76.02274446457963,127.02024155561833,158.98151868997346,144.6351369427566,137.07840312425475,110.79320460240672,58.94197741836733,129.00843235325917,139.60042047725764,148.2099164938428,140.74891706072233,79.87468026417086
77.91906149863841,129.39926758569246,160.23342357647343,146.90896078065063,123.7131183480611,104.38900557178476,59.84392092185386,134.85624495472487,140.16703115093765,145.2101889555198,137.21075068057561,88.88999874629862
77.76393788536282,126.1772935780638,163.83330955863443,145.56398413504007,107.07510713430763,101.33569634503061,67.65862631244946,157.30270031210594,119.92962574450945,135.7234545891979,124.6645307912012,97.75619509834179
71.70742286963716,118.21724922658893,145.82728729055862,146.2364326629005,99.21350229554308,101.49283971856524,74.72244274239016,162.1782392818279,122.266809303122,130.48652903108996,112.37581856846538,105.03021531391066
71.97301945898279,125.72864950984561,155.93116696723186,146.25406694441253,92.01776417386372,96.16194678362848,72.93970696749986,154.63248804608978,133.75461698334766,122.87401947936006,111.15186264072979,109.1634515197659
69.55126856004705,123.3566975543859,147.8218942609452,142.5826959686335,77.76034244618444,87.18468073532857,65.43263801886064,155.39282262419152,138.3039164024963,107.1992370031729,110.32059863154532,114.73820982557521
72.72430231133957,133.4433494017177,146.4943668031802,135.81940676010433,71.77405644039264,85.4039229034196,61.05354422576094,156.38619063158097,135.60499289638872,94.51699686586107,105.37611426220812,118.87688368373918
