left_shoulder,left_elbow,left_wrist,left_hip,left_knee,left_ankle,right_shoulder,right_elbow,right_wrist,right_hip,right_knee,right_ankle,torso_angle
140.81442092071944,119.81415558258398,114.66408095304512,138.83336004806299,169.81416122757264,167.22533945234184,155.99483696746725,121.72943912212908,115.89241907557285,145.97237511189041,164.38811457001802,168.2309140277115,92.82754838058929
134.7130484238018,114.42943984763538,126.51680104894814,140.6491533050796,177.2548226246523,177.95797075331527,145.74007691790874,109.2355611692422,139.43626403934533,143.74822116056583,164.13265688895083,171.01679279223697,92.66291055575142
137.0464598734503,114.06274722353429,127.16862844949446,138.56090477966504,172.21484587641015,172.58433763051335,145.39614438672606,105.77566640448717,144.87220456070742,142.59529192926428,165.31803106608743,165.40620921161894,92.093166951494
139.11590313529234,117.80619161144301,128.2266101318719,136.23421552883775,168.94285323879402,170.07412436663552,146.05465239297604,105.54267364589418,143.73053554302075,140.07975486765775,167.33622724492582,162.51590871210516,92.17081798594212
137.6557815282958,118.04012777715401,126.33505348050939,139.8563410162298,174.62880951517255,174.96285495388284,147.03597746117475,104.47279676228706,147.1428037319336,137.56899622901307,170.0176709177923,166.040023853135,93.14311421106775
138.2160359730378,118.26915165573564,126.03002420791117,141.53091114163118,176.39760920677918,174.6087795423112,146.9459481484122,104.69337156573833,152.8696287656829,137.11595150211042,169.97410774027668,163.41933008858248,93.27011717929734
136.7673605120463,121.46144036260242,125.78944993020323,141.38410843592598,172.2490369683433,172.97270674257257,145.8389144755897,105.6327940839837,156.29457848546073,136.06962417099962,171.73726420820176,170.75610778358683,93.70452675958776
137.63958735720354,122.57127469243376,127.15778662820568,140.24756963148548,170.8584979986645,170.98708828891898,146.09555925717018,107.7601305195233,154.63007485141299,136.10689490385147,172.76453001660047,177.85617023488564,93.68421027826278
138.19731486312736,122.26152060832587,130.13772564987343,140.03365898746685,168.04839150160387,165.90948625970236,146.7379840707635,109.39202481822885,153.08364344423205,136.1211352808487,172.02259715769728,179.0848117141807,93.95806712820918
138.21129410753412,122.92373502003083,132.9796702558899,140.8108849141455,167.65587916457943,163.12360405103186,146.83102619454888,109.4359571475165,153.83644147549322,135.35765909354205,173.02354081350114,179.14495977355665,94.39216644483898
140.2900644115515,124.8402432164747,135.24222429503763,138.8587488440442,165.38220750305922,163.32696663728862,147.87024788432592,111.82088558293749,152.02536258826407,135.96122933637687,172.16354547034928,178.73414644775033,94.11447370625474
140.8407119755249,124.33877273428016,136.92663091669385,138.03323731174916,162.834119401908,163.9089640068546,147.33115780311476,112.55598867728976,152.37207279029678,136.33410983493184,172.53079086124723,179.28808377911272,93.90194052343786
143.88093733706495,126.90894161229907,137.06259161640796,136.92791262376846,162.31521034139985,161.7151122383238,147.85505918249956,114.89608781622493,152.36868204459876,136.5775503534418,176.4276582598276,170.15469884278454,93.22889807794465
145.944998440941,127.66805063546019,137.82138264601525,136.0585848896012,161.97065159694614,162.46141246203092,148.75740247098545,119.18391678673375,149.25350537583353,135.08540122962498,174.67276649262593,155.96157862680903,92.91253978277733
145.71818334521097,128.97393898128593,140.90390416070076,136.10899347513802,159.16916126576947,158.44044519316702,151.80294705933915,123.97067606313854,147.91968726543527,132.18302708156318,165.1809341670749,147.59311028138038,93.62489609471781
147.89544264209752,130.91154572703294,142.1996469423139,131.34367096502947,150.0021772529887,152.14306420923666,152.17959627640124,126.86655248435873,147.24849106166099,132.30859430256888,153.66817875304545,142.1944976375849,92.84169122483121
148.48105469195406,132.06179679038024,141.91233861787572,126.214359584709,134.7829979863135,132.3923192850159,153.26384955952756,129.3789087833071,147.43023538883585,133.96039287741354,141.3699559200868,144.58330727492236,92.24941440471662
149.17353661125486,133.72465053549288,141.5935875331797,124.22955991718527,120.03251508046591,111.32325074786237,154.44138427395308,130.8229261712765,149.24348976271483,134.56314214635808,130.70061443598942,148.95713955003316,91.97452877925858
150.81958046058352,136.40523607036263,140.71454365648572,123.71318827538944,108.71520118774365,102.58543878307793,156.82028314685337,134.37486760475244,149.7483262420956,135.99152786729627,120.82757628045952,148.72525497221824,91.4571405338867
152.12947989914855,137.98199336844647,140.57650546001952,124.23511592639309,102.0521252527839,116.3254741849994,158.04190069859396,136.45569328742366,151.0982048431998,138.15622695302088,114.97618569423125,146.3472933537132,91.08022343921034
153.67561617134277,139.74914120608855,141.25582096906493,122.95682279978855,98.14831892297124,132.3554938559163,158.48375173751836,138.0348406087843,149.818556764607,139.59441308357154,111.08175493300469,150.66308196424276,90.35179357802745
155.60946365157443,141.28433965434408,141.00460977913352,126.7207256223578,96.76677101944738,129.8557303896198,159.14504628030429,137.95662155341145,152.40758656634156,143.40209146467708,112.75732876894588,151.18458367365713,89.98736225239263
156.94522126584147,142.45007268207212,141.75366841523174,132.61174678127844,101.6580877183479,128.5453163907957,160.04300142858068,139.2126676987033,148.8105810242071,147.79029026016994,117.18897381436018,154.1953963388308,89.9984111823332
158.89074454340656,144.0968364464071,141.7018216715405,137.8856653893441,107.75221491924312,129.8827750917119,161.5413898904847,141.72759829790587,145.90099543597003,151.87415218957898,121.54671137642518,155.1612629517889,89.96777703939166
159.43163153329,146.57882712884657,141.40620273876084,146.37493095623154,117.54170094482102,136.25860777588326,164.31676374844338,145.13322046360247,142.92622267749775,153.00692024868542,125.26634786739699,162.46773012736094,91.15664865997431
158.9762526943355,147.65316804372947,141.17855435469303,154.77263012711086,129.4363385693334,139.59209319214608,167.40838200553182,148.59380472733497,142.16564866516472,153.83918168650032,132.54439944849761,166.958673263639,92.51775250431334
