accuracy,loss,val_accuracy,val_loss,epoch
0.7740899324417114,0.985695481300354,1.0,0.5038071274757385,1
0.980728030204773,0.3345451056957245,1.0,0.08295860141515732,2
0.9957173466682434,0.08675530552864075,1.0,0.016552790999412537,3
0.9957173466682434,0.041710399091243744,1.0,0.006625440437346697,4
0.9978586435317993,0.024334914982318878,1.0,0.003365684999153018,5
0.9989293217658997,0.016440771520137787,1.0,0.0018981345929205418,6
1.0,0.010756065137684345,1.0,0.0011930877808481455,7
1.0,0.008884713985025883,1.0,0.000798053340986371,8
1.0,0.0073144943453371525,1.0,0.0005657210131175816,9
1.0,0.004125164356082678,1.0,0.0004179884272161871,10
1.0,0.004670693539083004,1.0,0.0003150746342726052,11
1.0,0.003896638983860612,1.0,0.0002384361287113279,12
1.0,0.0038595781661570072,1.0,0.0001813624839996919,13
1.0,0.002638057107105851,1.0,0.00014214128896128386,14
1.0,0.0020282482728362083,1.0,0.00011856036144308746,15
1.0,0.0023741659242659807,1.0,9.67231098911725e-05,16
1.0,0.0016562752425670624,1.0,7.973914762260392e-05,17
1.0,0.0013224511640146375,1.0,6.814936932642013e-05,18
1.0,0.001607919461093843,1.0,5.749161937274039e-05,19
1.0,0.0012581503251567483,1.0,4.9088896048488095e-05,20
1.0,0.0010615361388772726,1.0,4.254037776263431e-05,21
1.0,0.0009187597315758467,1.0,3.734992424142547e-05,22
1.0,0.0010215385118499398,1.0,3.2828811526997015e-05,23
1.0,0.0009752638288773596,1.0,2.923584725067485e-05,24
1.0,0.0008511387277394533,1.0,2.572743505879771e-05,25
1.0,0.0009458152344450355,1.0,2.3031032469589263e-05,26
1.0,0.0008294417639262974,1.0,2.0245983250788413e-05,27
1.0,0.0008196739945560694,1.0,1.8059508875012398e-05,28
1.0,0.0007231542258523405,1.0,1.5904615793260746e-05,29
1.0,0.0006059849984012544,1.0,1.4205660590960179e-05,30
1.0,0.0004964410327374935,1.0,1.2847000107285567e-05,31
1.0,0.00043047548388130963,1.0,1.1750697012757882e-05,32
1.0,0.000555094622541219,1.0,1.0677316822693683e-05,33
1.0,0.0004417995805852115,1.0,9.749125638336409e-06,34
1.0,0.0005541794816963375,1.0,8.785782483755611e-06,35
1.0,0.0003159858752042055,1.0,8.117911420413293e-06,36
1.0,0.0003583365469239652,1.0,7.457681931555271e-06,37
1.0,0.0005999288405291736,1.0,6.6532802520669065e-06,38
1.0,0.0003931497340090573,1.0,6.099520760471933e-06,39
1.0,0.00040926976362243295,1.0,5.589064130617771e-06,40
1.0,0.0003389629418961704,1.0,5.1392303248576354e-06,41
1.0,0.0002671658876352012,1.0,4.8019819587352686e-06,42
1.0,0.0002703428908716887,1.0,4.4815446926804725e-06,43
1.0,0.00031542309443466365,1.0,4.140220880799461e-06,44
1.0,0.0002967566251754761,1.0,3.8111229514470324e-06,45
1.0,0.00033189699752256274,1.0,3.4983272598765325e-06,46
1.0,0.0003130095428787172,1.0,3.2232301236945204e-06,47
1.0,0.0003476026759017259,1.0,2.9939819796709344e-06,48
1.0,0.00024982597096823156,1.0,2.781036073429277e-06,49
1.0,0.00040623574750497937,1.0,2.538033641030779e-06,50
