left_shoulder,left_elbow,left_wrist,left_hip,left_knee,left_ankle,right_shoulder,right_elbow,right_wrist,right_hip,right_knee,right_ankle
141.41096546859526,128.10095199536184,138.97858388203016,145.644158905449,176.48112822819232,168.70727196040235,143.82210640504306,116.8450451516245,146.2938532228968,143.13350797629425,165.97271155990975,165.65936527719305
139.61396452000693,116.47673131091254,139.37125685181053,138.8095736372801,172.00668957063635,166.29524158111008,141.3323159876233,108.2243127665978,143.76372028910467,143.2124799422951,168.71133449389671,164.96796161969115
139.71314624374511,116.4185084314975,132.3436133423076,137.76818106135394,171.89112311831852,165.2501093649107,143.00042427161947,108.05666478536611,141.8007769312727,142.8591739846744,167.10572315656313,162.88148146001708
139.99927813341628,116.9069555047722,128.93408533215262,136.44553291317195,171.42895922479292,169.92062385795384,141.94280085319792,106.91521962551111,143.14253019640174,142.88262244621043,165.96444550801948,160.09553836242242
138.90931704343964,116.84555816015775,125.64247793508694,137.61713861276792,173.09533672500447,171.42878463612553,143.36940302734814,111.00722978108732,141.8986482061618,143.2073605530571,164.60952605033594,163.5599545666111
139.3184940241348,119.75366532912375,123.33990422842977,139.88562655448965,175.8132649646033,173.76435377373267,145.61592354352015,112.3986125399599,142.1591464641757,142.89046964803669,165.47755816813327,167.75122151669
139.32923932047697,121.74733047532432,125.55215565010006,140.6410101842859,175.74684048540513,174.20258309905287,145.77062081639946,109.79845691645754,146.67023305996292,141.47853633735727,167.48450526071755,173.3452582715365
139.02199475415406,120.15108898538493,130.76455469904784,139.6262561363439,172.04733033804965,171.45302515179554,145.51262471222435,107.14097466823098,151.063616888973,140.12564516759366,169.39450251118652,177.51278825753545
139.27433851835718,118.83598508932836,133.3300689267675,138.67441877693363,169.0714734965567,167.80574133453987,144.48014028561738,104.18277130922374,154.1399626706913,139.3119154477523,171.20921883958746,179.02356201238416
138.6696078065507,118.56829381107643,136.42833082446987,139.27667754672927,166.63849624914914,165.03379382724555,144.80576683403257,102.99494728824509,155.4837844900675,137.1466022013653,173.39367864350643,178.7223747423179
137.8012727650015,118.56815672591401,137.49721499671628,140.11538050330358,165.9572724286282,164.15237527390437,145.5871449605303,103.48370260869257,156.83114156229914,136.43527226748336,173.22169393333917,177.74763980731495
138.91566534522764,120.49231307681032,139.4469607140327,140.17828384841712,165.48071837552928,164.36425468810774,145.8102264864167,106.76773233129165,153.5236199766418,136.1353017295132,173.70809322893712,179.53084830702315
